ID,LanguageName,Language,Latitude,Longitude,Family,Parameter,Segments,SegmentsB,Value
2320,Abkhaz,abkh1244,43.06,41.16,Abkhaz-Adyge,BITTER+SOUR,"ɑ ʂ ɑ","ɑ tsʼ ə tsʼ ə ɨ",0
2321,Abkhaz,abkh1244,43.06,41.16,Abkhaz-Adyge,BITTER+SWEET,"ɑ ʂ ɑ","ɑ z l ɑ",0
2322,Abkhaz,abkh1244,43.06,41.16,Abkhaz-Adyge,SOUR+SWEET,"ɑ tsʼ ə tsʼ ə ɨ","ɑ z l ɑ",0
2352,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,BITTER+SALTY,"m a k a l i","a l e s i ŋ",0
2353,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,BITTER+SOUR,"m a k a l i","a l e s i ŋ",0
2354,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,BITTER+SWEET,"m a k a l i","r a l o ŋ",0
2356,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,SALTY+SOUR,"a l e s i ŋ","a l e s i ŋ",1
2357,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,SALTY+SWEET,"a l e s i ŋ","r a l o ŋ",0
2355,Abui,abui1241,-8.31058,124.588,Timor-Alor-Pantar,SOUR+SWEET,"a l e s i ŋ","r a l o ŋ",0
867,Abun,abun1252,-0.57073,132.416,,BITTER+SALTY,"n d o","b o k",0
1938,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,BITTER+SALTY,"x ɔ ³¹","x ɔ ³¹",1
1939,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,BITTER+SOUR,"x ɔ ³¹","m ʐ ə k ⁵⁵",0
1940,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,BITTER+SWEET,"x ɔ ³¹","w a i ³¹",0
1941,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,SALTY+SOUR,"x ɔ ³¹","m ʐ ə k ⁵⁵",0
1942,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,SALTY+SWEET,"x ɔ ³¹","w a i ³¹",0
1937,"Achang (Longchuan)",acha1249,24.466605,97.89503,Sino-Tibetan,SOUR+SWEET,"m ʐ ə k ⁵⁵","w a i ³¹",0
